"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.191,1.428,95.795,0.576,0.000,0.010,210116.934,288661.901,0.0,0.0,17396125696.0,1646596096.0,13541101568.0,811819008.0
40.025,4.613,55.112,0.249,0.0,0.0,12288.0,0.0,9637.0,1646.0,17606008832.0,1646596096.0,13541711872.0,601325568.0
52.671,6.832,40.248,0.124,0.0,0.124,0.0,5746688.0,6104.0,3616.0,17612574720.0,1646600192.0,13544103936.0,592363520.0


"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_face_verification_20.csv -cdn -m",,,,"Date:","03 Aug 2015 00:19:03 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.193,1.418,95.811,0.568,0.000,0.010,204130.449,285040.677,0.0,0.0,17719918592.0,1649508352.0,13555970048.0,470245376.0
41.740,4.035,53.468,0.631,0.0,0.126,0.0,4096.0,2110.0,1340.0,17935904768.0,1649508352.0,13556723712.0,253505536.0
49.242,6.944,43.687,0.0,0.0,0.126,0.0,245760.0,20529.0,5120.0,17941262336.0,1649508352.0,13559005184.0,245866496.0
48.866,6.549,44.081,0.252,0.0,0.252,0.0,294912.0,4706.0,3016.0,17944764416.0,1649512448.0,13559042048.0,242323456.0


"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_face_verification_20.csv -cdn -m",,,,"Date:","03 Aug 2015 00:19:48 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.194,1.418,95.810,0.568,0.000,0.010,204084.325,285005.304,0.0,0.0,17738055680.0,1649528832.0,13560520704.0,447537152.0
28.392,2.261,69.347,0.0,0.0,0.0,0.0,0.0,16906.0,18094.0,17936699392.0,1649528832.0,13561655296.0,247758848.0
24.338,2.522,72.131,0.757,0.0,0.252,0.0,409600.0,36149.0,36594.0,17944829952.0,1649532928.0,13563805696.0,237473792.0
12.688,2.010,84.422,0.879,0.0,0.0,0.0,94208.0,19290.0,20302.0,17953947648.0,1649537024.0,13562048512.0,230109184.0


"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_face_verification_20.csv -cdn -m",,,,"Date:","03 Aug 2015 00:32:51 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.197,1.418,95.809,0.566,0.000,0.010,203296.563,284534.327,0.0,0.0,17670860800.0,1649836032.0,13557649408.0,517296128.0
19.571,1.641,78.662,0.0,0.0,0.126,0.0,0.0,47973.0,1276361.0,17821192192.0,1649836032.0,13558300672.0,366313472.0
2.774,1.513,95.460,0.126,0.0,0.126,1024.0,99328.0,120520.0,3276228.0,17867710464.0,1649836032.0,13562810368.0,315285504.0


"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_face_verification_20.csv -cdn -m",,,,"Date:","03 Aug 2015 00:56:06 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.211,1.418,95.795,0.566,0.000,0.010,201910.293,284437.116,0.0,0.0,17727647744.0,1650868224.0,13627174912.0,389951488.0
19.506,2.716,77.531,0.0,0.0,0.247,0.0,0.0,55868.0,1346283.0,17873854464.0,1650868224.0,13632868352.0,238051328.0
2.384,2.258,94.103,1.129,0.0,0.125,1024.0,377856.0,105443.0,3034424.0,17929662464.0,1590276096.0,13634945024.0,240758784.0
4.266,1.380,93.225,1.004,0.0,0.125,0.0,65536.0,113583.0,3292599.0,17935605760.0,1590276096.0,13635473408.0,234287104.0
